Question,Option A,Option B,Option C,Option D,Correct Answer,,,,
What is 25% of 80?,10,15,20,25,20,,,,
If a train travels 120 km in 2 hours, what is its speed?,40 km/h,50 km/h,60 km/h,70 km/h,60 km/h,,,
Solve for x: 3x + 5 = 20,3,4,5,6,5,,,,
What is the next number in the sequence: 2,4,8,16, ?,24,32,40,48,32
If A can do a piece of work in 10 days and B can do the same work in 15 days, how many days will they take to complete the work together?,5 days,6 days,7 days,8 days,6 days,,,
What is the area of a circle with a radius of 7 cm? (Use ? = 22/7),44 sq cm,154 sq cm,22 sq cm,88 sq cm,154 sq cm,,,,
If a car travels at 60 km/h, how far will it travel in 30 minutes?,15 km,20 km,30 km,45 km,30 km,,,
What is the average of 10,20,30,40, and 50?,25,30,35,40,30
If a rectangle has a length of 12 cm and a width of 8 cm, what is its perimeter?,20 cm,40 cm,80 cm,96 cm,40 cm,,,
What is the value of 2^5?,10,16,32,64,32,,,,
If 15% of a number is 45, what is the number?,200,300,400,500,300,,,
What is the simple interest on Rs. 1000 for 2 years at 5% per annum?,Rs. 50,Rs. 100,Rs. 150,Rs. 200,Rs. 100,,,,
If a cube has a side of 5 cm, what is its volume?,25 cu cm,100 cu cm,125 cu cm,150 cu cm,125 cu cm,,,
What is the value of (1/2) + (1/4) + (1/8)?,03-Apr,05-Aug,07-Aug,Sep-16,07-Aug,,,,
If a dozen eggs cost Rs. 60, what is the cost of 5 eggs?,Rs. 20,Rs. 25,Rs. 30,Rs. 35,Rs. 25,,,
What is the difference between the largest and smallest numbers in the set: {12,5,23,8, 17}?,15,18,20,22,18
If a train crosses a pole in 10 seconds and its length is 150 meters, what is its speed?,10 km/h,15 km/h,54 km/h,60 km/h,54 km/h,,,
What is the value of 0.25 * 16?,2,4,6,8,4,,,,
If a person earns Rs. 500 per day and spends Rs. 300, what is their savings percentage?,20%,40%,60%,80%,40%,,,
What is the value of ?144?,10,12,14,16,12,,,,
If a mixture contains milk and water in the ratio 3:2, and the quantity of milk is 12 liters, what is the quantity of water?,6 liters,8 liters,10 liters,12 liters,8 liters,,
What is the value of 10! / 8!?,45,60,72,90,90,,,,
If a person walks at a speed of 5 km/h, how long will it take to cover 20 km?,2 hours,3 hours,4 hours,5 hours,4 hours,,,
What is the value of log10(1000)?,2,3,4,5,3,,,,
If a shopkeeper sells an item for Rs. 1200 after a 20% discount, what was the marked price?,Rs. 1400,Rs. 1500,Rs. 1600,Rs. 1800,Rs. 1500,,,
What is the value of (1/3) of 27?,6,9,12,15,9,,,,
