Question,Option A,Option B,Option C,Option D,Correct Answer,,,,,,,,,
What is the purpose of Express middleware?,To define routes,To handle requests and responses,To manage database connections,To create static files,To handle requests and responses,,,,,,,,,
What is the syntax for defining a middleware function in Express?,app.middleware(() => {}),app.use(() => {}),app.route(() => {}),app.static(() => {}),app.use(() => {}),,,,,,,,,
What is the purpose of `next()` in a middleware function?,To send a response,To pass control to the next middleware function,To define a route,To handle errors,To pass control to the next middleware function,,,,,,,,,
What is the purpose of Express Router?,To define multiple routes in a separate module,To handle static files,To manage database connections,To handle errors,To define multiple routes in a separate module,,,,,,,,,
What is the syntax for creating an Express Router?,const router = express.Router(),const router = new express.Router(),const router = express.route(),const router = express.createRouter(),const router = express.Router(),,,,,,,,,
What is the purpose of `router.use()`?,To define middleware specific to the router,To define a route,To handle static files,To manage database connections,To define middleware specific to the router,,,,,,,,,
What is the purpose of `router.get()`?,To define a GET route,To define a POST route,To define middleware,To handle static files,To define a GET route,,,,,,,,,
What is the purpose of `router.post()`?,To define a POST route,To define a GET route,To define middleware,To handle static files,To define a POST route,,,,,,,,,
What is the purpose of `router.put()`?,To define a PUT route,To define a DELETE route,To define middleware,To handle static files,To define a PUT route,,,,,,,,,
What is the purpose of `router.delete()`?,To define a DELETE route,To define a PUT route,To define middleware,To handle static files,To define a DELETE route,,,,,,,,,
What is the purpose of `router.route()`?,To chain multiple route handlers for a single path,To define a single route,To define middleware,To handle static files,To chain multiple route handlers for a single path,,,,,,,,,
What is the purpose of `app.param()`?,To handle route parameters,To define middleware,To define a route,To handle static files,To handle route parameters,,,,,,,,,
What is the purpose of `app.all()`?,To handle all HTTP methods for a specific path,To handle only GET requests,To handle only POST requests,To handle static files,To handle all HTTP methods for a specific path,,,,,,,,,
What is the purpose of `app.use(express.static())`?,To serve static files,To define routes,To handle middleware,To manage database connections,To serve static files,,,,,,,,,
What is the purpose of `app.use(express.json())`?,To parse JSON request bodies,To parse URL-encoded request bodies,To serve static files,To handle errors,To parse JSON request bodies,,,,,,,,,
What is the purpose of `app.use(express.urlencoded())`?,To parse URL-encoded request bodies,To parse JSON request bodies,To serve static files,To handle errors,To parse URL-encoded request bodies,,,,,,,,,
What is the purpose of `app.use(cookieParser())`?,To parse cookies,To parse JSON request bodies,To parse URL-encoded request bodies,To serve static files,To parse cookies,,,,,,,,,
What is the purpose of `app.use(session())`?,To manage user sessions,To parse cookies,To parse JSON request bodies,To serve static files,To manage user sessions,,,,,,,,,
What is the purpose of `app.use(cors())`?,To enable Cross-Origin Resource Sharing,To manage user sessions,To parse cookies,To serve static files,To enable Cross-Origin Resource Sharing,,,,,,,,,
What is the purpose of Express error handling middleware?,To handle errors in the request-response cycle,To define routes,To serve static files,To manage database connections,To handle errors in the request-response cycle,,,,,,,,,
