Question,Option A,Option B,Option C,Option D,Correct Answer,,,,,
What does OOP stand for?,Object-Oriented Programming,Out-of-Process Programming,Open Operating Procedure,Optimal Object Parsing,Object-Oriented Programming,,,,,
Which of the following is a core OOP concept?,Inheritance,Compilation,Memory allocation,Web design,Inheritance,,,,,
What is a class in Java?,An instance of an object,A blueprint for creating objects,A primitive data type,A loop construct,A blueprint for creating objects,,,,,
What is an object in Java?,A class definition,An instance of a class,A method declaration,A loop construct,An instance of a class,,,,,
What is encapsulation in Java?,Hiding data and methods within a class,Creating multiple classes,Defining interfaces,Looping through arrays,Hiding data and methods within a class,,,,,
What is inheritance in Java?,Creating new variables,Defining functions,Creating a new class from an existing class,Looping,Creating a new class from an existing class,,,,,
What is polymorphism in Java?,Using different variables,Defining multiple functions,Using the same method name for different data types,Looping,Using the same method name for different data types,,,,,
What is abstraction in Java?,Hiding complex details and showing only essential information,Creating new variables,Defining new functions,Looping,Hiding complex details and showing only essential information,,,,,
Which keyword is used to create a class in Java?,struct,class,object,new,class,,,,,
Which keyword is used to create an object in Java?,create,object,instance,new,new,,,,,
Which keyword is used for inheritance in Java?,inherit,extends,implements,new,extends,,,,,
Which keyword is used to access the superclass in Java?,base,super,parent,this,super,,,,,
What is the syntax for declaring a class?,class ClassName {},ClassName class {},object ClassName {},ClassName object {},class ClassName {},,,,,
What is the syntax for creating an object of a class?,ClassName obj = create ClassName();,ClassName obj = new ClassName();,obj ClassName();,new ClassName() obj;,ClassName obj = new ClassName();,,,,,
What is the syntax for inheritance?,class SubClass : SuperClass {},class SubClass extends SuperClass {},SubClass inherit SuperClass {},SubClass super SuperClass {},class SubClass extends SuperClass {},,,,,
What is the syntax for calling a superclass constructor?,super();,this.super();,parent();,base();,super();,,,,,
What is a constructor in Java?,A method to display output,A special method to initialize objects,A method to define variables,A loop construct,A special method to initialize objects,,,,,
What is a default constructor?,A constructor with parameters,A constructor with no parameters,A constructor that returns a value,A constructor that throws an exception,A constructor with no parameters,,,,,
What is a parameterized constructor?,A constructor with parameters,A constructor with no parameters,A constructor that returns a value,A constructor that throws an exception,A constructor with parameters,,,,,
What is method overloading?,Defining multiple classes,Defining multiple methods with the same name but different parameters,Creating multiple objects,Looping,Defining multiple methods with the same name but different parameters,,,,,
